2, 38498
3, 28712
2, 94540
2, 23464
3, 24487
2, 21305
1, 93556
2, 29279
1, 64850
1, 62584
1, 85337
1, 10362
2, 79524
1, 63163
2, 73761
2, 53461
3, 25811
1, 70384
2, 80339
1, 38009
1, 432
2, 19757
3, 47649
1, 43711
2, 80218
2, 73704
3, 3058
1, 73043
3, 42505
3, 85127
3, 64852
3, 19379
3, 47729
3, 78003
3, 64421
2, 74776
3, 72050
3, 15487
1, 54533
1, 5359
1, 77587
3, 10683
2, 10510
2, 48649
2, 76383
2, 72219
3, 88782
2, 875
1, 52263
2, 28959
2, 91120
1, 63888
3, 56318
2, 5330
2, 89144
3, 10728
2, 34267
1, 68694
1, 82888
3, 53927
1, 90294
2, 98719
3, 35177
2, 56297
2, 28836
2, 24802
1, 64059
1, 13861
1, 12629
3, 63019
3, 84455
1, 54118
2, 36213
2, 63474
3, 47589
2, 27232
3, 52440
3, 32129
1, 50924
3, 19265
3, 43326
1, 2417
2, 20518
1, 49481
2, 71861
2, 82647
2, 28872
3, 21057
3, 10700
1, 10595
3, 41298
1, 10326
1, 97624
1, 11650
3, 18416
1, 82810
3, 62300
3, 1865
1, 17362
3, 39214
1, 49596
3, 61778
3, 26581
1, 21574
3, 22378
3, 7980
3, 86531
1, 12858
1, 22265
3, 77866
1, 95514
1, 25151
3, 47000
1, 98966
1, 11153
1, 48150
3, 13908
1, 1809
1, 48849
1, 37951
1, 8779
3, 29411
1, 4196
3, 21127
1, 91200
1, 5470
3, 30711
3, 585
3, 26930
3, 69909
3, 36800
1, 57057
1, 43011
1, 66043
3, 99634
3, 22953
3, 25998
1, 47087
1, 45097
3, 99402
1, 18471
3, 92188
1, 4046
1, 77533
3, 59827
3, 43670
1, 75259
3, 78297
3, 13518
1, 52280
1, 21663
3, 83225
3, 69893
3, 51148
3, 76813
1, 51577
3, 67069
1, 15172
3, 92865
1, 93161
3, 36275
1, 439
3, 93678
1, 26765
1, 21916
3, 5219
1, 30128
3, 61415
3, 85914
1, 86907
3, 87244
3, 29275
3, 74967
1, 27150
1, 40893
3, 42299
3, 64063
3, 39170
1, 74073
1, 73102
1, 36473
3, 35838
1, 99478
1, 88700
1, 51385
1, 82577
1, 72159
1, 18808
1, 93994
1, 69339
1, 14446
1, 67719
1, 50395
1, 93465
1, 9177
1, 9311
1, 6293
1, 88472
1, 6953
1, 91299
1, 38185
